label	kind	control	total	delta
tools_none	flag	10903	3544	-7359
tools_core4	flag	10903	4786	-6117
tools_core5	flag	10903	5022	-5881
exclude_dynamic	flag	10903	10785	-118
safe_mode	flag	10903	9879	-1024
bare	flag	10903	NOUSAGE	NOUSAGE
git_instructions_off	setting	10903	10462	-441
skills_all_off	setting	10903	10903	0
skills_keep_grilling	setting	10903	10903	0
plugin_off	setting	10903	10903	0
deny_agents	setting	10903	13221	2318
tool_search_auto	env	10903	18535	7632
tool_search_force	env	10903	10903	0
simple_system_prompt	env	10903	10903	0
git_instr_env	env	10903	10462	-441
no_claude_mds	env	10903	10903	0
no_cron	env	10903	10903	0
no_todo	env	10903	10903	0
no_explore_plan	env	10903	10618	-285
